kind,qualified_name,signature,source_anchor,visibility,summary,inputs_outputs,side_effects,dependencies,development_relevance,evidence_status,review_status
class,pandapower.auxiliary.ADict,"class(dict[str, Any], MutableMapping[str, Any])",pandapower/auxiliary.py#L176,public,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.ADict 的实现与调用链确认。,输入：构造参数由 __init__ 或工厂函数定义；输出：类实例,可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,__init__；self._setattr；list；self.update；cls；__setattr__；self._valid_name；__delattr__；self._build；cls.__new__；self.items；result._setattr；self.copy；self.keys；getattr；AttributeError,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict.__call__,"(self, key: str) -> Any",pandapower/auxiliary.py#L260,private,Dynamically access a key-value pair.,输入：key；输出：Any,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,self._build；AttributeError；format,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict.__deepcopy__,"(self, memo: dict[int, Any]) -> 'ADict'",pandapower/auxiliary.py#L291,private,"overloads the deepcopy function of pandapower if at least one DataFrame with column ""object"" is in net",输入：memo；输出：'ADict',可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,cls.__new__；self.items；result._setattr；id；isinstance；_preserve_dtypes；setattr；isdisjoint；v.__class__；copy.deepcopy；apply；set,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict.__delattr__,"(self, key: str, force: bool=False) -> None",pandapower/auxiliary.py#L243,private,Delete an attribute.,"输入：key, force；输出：None",可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,self._valid_name；getattr；__delattr__；TypeError；format；super,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict.__dir__,(self) -> list[str],pandapower/auxiliary.py#L197,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.ADict.__dir__ 的实现与调用链确认。,输入：无显式输入；输出：list[str],静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,list；self.keys,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict.__getattr__,"(self, key: str) -> Any",pandapower/auxiliary.py#L278,private,Access an item as an attribute.,输入：key；输出：Any,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,self._build；AttributeError；self._valid_name；format,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict.__getstate__,"(self) -> tuple[dict[str, Any], bool]",pandapower/auxiliary.py#L194,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.ADict.__getstate__ 的实现与调用链确认。,"输入：无显式输入；输出：tuple[dict[str, Any], bool]",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,self.copy,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict.__init__,"(self, *args: Any, **kwargs: Any) -> None",pandapower/auxiliary.py#L179,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.ADict.__init__ 的实现与调用链确认。,"输入：*args, **kwargs；输出：None",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,__init__；self._setattr；super,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict.__setattr__,"(self, key: str, value: Any) -> None",pandapower/auxiliary.py#L218,private,Add an attribute.,"输入：key, value；输出：None",可能修改传入对象、网络表或仿真状态；调用前后状态需由适配器校验,self._valid_name；getattr；__setattr__；TypeError；format；super,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict.__setstate__,"(self, state: tuple[dict[str, Any], bool]) -> None",pandapower/auxiliary.py#L200,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.ADict.__setstate__ 的实现与调用链确认。,输入：state；输出：None,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,self.update；self._setattr,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict._build,"(self, obj: T, **kwargs: Any) -> T",pandapower/auxiliary.py#L186,private,We only want dict like elements to be treated as recursive AttrDicts.,"输入：obj, **kwargs；输出：T",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,静态扫描未发现直接函数调用,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict._constructor,"(cls, mapping: dict[str, Any]) -> 'ADict'",pandapower/auxiliary.py#L206,private,待人工补充：源码未提供可直接确认的功能说明；需结合 pandapower.auxiliary.ADict._constructor 的实现与调用链确认。,输入：mapping；输出：'ADict',静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,cls,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict._delattr,"(self, key: str) -> None",pandapower/auxiliary.py#L236,private,"Delete an attribute from the object, without attempting to remove it from the mapping (i.e. internals)",输入：key；输出：None,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,__delattr__；super,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict._setattr,"(self, key: str, value: Any) -> None",pandapower/auxiliary.py#L211,private,"Add an attribute to the object, without attempting to add it as a key to the mapping (i.e. internals)","输入：key, value；输出：None",静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,__setattr__；super,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
method,pandapower.auxiliary.ADict._valid_name,"(cls, key: Any) -> bool",pandapower/auxiliary.py#L326,private,Check whether a key is a valid attribute name.,输入：key；输出：bool,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,isinstance；hasattr,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,自动生成
class,pandapower.auxiliary.AlgorithmUnknown,class(ppException),pandapower/auxiliary.py#L692,public,源码注释与类名语义不一致；在追踪实际抛出点前不得映射为确定的“算法不支持”错误。,输入：构造参数由 __init__ 或工厂函数定义；输出：类实例,静态扫描未确认外部副作用；运行态副作用仍需在 PoC 中复核,静态扫描未发现直接函数调用,需要适配：可作为新系统数据模型、求解、控制或错误契约的参考,源码确认（静态 AST）,人工复核
